Fixtures,Expected Goal Difference,Actual Goal Difference
West Bromvs. Fulham,-1.0,-1
West Hamvs. Norwich,1.0,1
Wiganvs. Man United,-4.0,-4
Chelseavs. QPR,-1.0,-1
Liverpoolvs. Sunderland,3.0,3
Newcastlevs. Everton,-1.0,-1
Aston Villavs. Southampton,-1.0,-1
Evertonvs. Swansea,0.0,0
Fulhamvs. Wigan,0.0,0
Norwichvs. Newcastle,0.0,0
QPRvs. Tottenham,0.0,0
Readingvs. West Brom,1.0,1
Stokevs. Chelsea,-4.0,-4
Sunderlandvs. West Ham,3.0,3
Arsenalvs. Man City,-2.0,-2
Man Unitedvs. Liverpool,1.0,1
Chelseavs. Southampton,0.0,0
Liverpoolvs. Norwich,5.0,5
Man Cityvs. Fulham,2.0,2
Newcastlevs. Reading,-1.0,-1
Swanseavs. Stoke,2.0,2
West Bromvs. Aston Villa,0.0,0
West Hamvs. QPR,0.0,0
Wiganvs. Sunderland,-1.0,-1
Chelseavs. Arsenal,1.0,1
Tottenhamvs. Man United,0.0,0
Southamptonvs. Everton,0.0,0
Arsenalvs. West Ham,4.0,4
Aston Villavs. Newcastle,-1.0,-1
QPRvs. Man City,0.0,0
Stokevs. Wigan,0.0,0
Sunderlandvs. Swansea,0.0,0
Arsenalvs. Liverpool,0.0,0
Evertonvs. West Brom,1.0,1
Fulhamvs. West Ham,2.0,2
Man Unitedvs. Southampton,1.0,1
Norwichvs. Tottenham,0.0,0
Readingvs. Chelsea,0.0,0
Arsenalvs. Stoke,1.0,1
Evertonvs. Aston Villa,0.0,0
Fulhamvs. Man United,-1.0,-1
Newcastlevs. Chelsea,1.0,1
QPRvs. Norwich,0.0,0
Readingvs. Sunderland,1.0,1
West Hamvs. Swansea,1.0,1
Wiganvs. Southampton,0.0,0
Man Cityvs. Liverpool,0.0,0
West Bromvs. Tottenham,-1.0,-1
Chelseavs. Wigan,3.0,3
Norwichvs. Fulham,0.0,0
Southamptonvs. Man City,2.0,2
Stokevs. Reading,1.0,1
Sunderlandvs. Arsenal,-1.0,-1
Swanseavs. QPR,3.0,3
Tottenhamvs. Newcastle,1.0,1
Aston Villavs. West Ham,1.0,1
Man Unitedvs. Everton,2.0,2
Liverpoolvs. West Brom,-2.0,-2
Liverpoolvs. Swansea,5.0,5
Arsenalvs. Aston Villa,1.0,1
Fulhamvs. Stoke,1.0,1
Norwichvs. Everton,1.0,1
QPRvs. Man United,-2.0,-2
Readingvs. Wigan,-3.0,-3
West Bromvs. Sunderland,1.0,1
Man Cityvs. Chelsea,2.0,2
Newcastlevs. Southampton,2.0,2
West Hamvs. Tottenham,-1.0,-1
Chelseavs. West Brom,1.0,1
Evertonvs. Reading,2.0,2
Man Unitedvs. Norwich,4.0,4
